ID	SLNO	SALIST	SOURCE_CONCEPT	CONCEPTICON_ID	CONCEPTICON_NAME	FORM	TOKENS	BORROWED	TONES	SOURCE	PAGE	DOCULECT	SPEAKER	GLOTTOCODE	NOTES
104	26		to be cold (person)	3819	COLD (FEELING COLD)	sak⁴² kɔ⁴⁴	s a k ⁴² + k ɔ ⁴⁴	0	42 44	nawsawu2016makyam	156	Santong	st2	maky1236	
105	27	cold..of.items:to.be	to be cool (water)	1287	COLD	ŋeiʔ⁵² lə³¹ kɔ³³	ŋ ei ʔ ⁵² + l ə ³¹ + k ɔ ³³	0	52 31 33	nawsawu2016makyam	157	Khalai	kl1	maky1236	
106	27	cold..of.items:to.be	to be cool (water)	1287	COLD	ŋeiʔ⁵² lə⁴⁴ kɔ²¹	ŋ ei ʔ ⁵² + l ə ⁴⁴ + k ɔ ²¹	0	52 44 21	nawsawu2016makyam	157	Khalai	kl2	maky1236	
107	27	cold..of.items:to.be	to be cool (water)	1287	COLD	ŋeʔ⁵² kɔ³¹	ŋ e ʔ ⁵² + k ɔ ³¹	0	52 31	nawsawu2016makyam	157	Santong	st1	maky1236	
108	27	cold..of.items:to.be	to be cool (water)	1287	COLD	ŋeʔ⁴² kɔ⁴²	ŋ e ʔ ⁴² + k ɔ ⁴²	0	42 42	nawsawu2016makyam	157	Santong	st2	maky1236	
109	28	stream	stream	947	STREAM	tʰi³³ loŋ³¹	tʰ i ³³ + l o ŋ ³¹	0	33 31	nawsawu2016makyam	157	Khalai	kl1	maky1236	
110	28	stream	stream	947	STREAM	tʰi³³ loŋ²¹	tʰ i ³³ + l o ŋ ²¹	0	33 21	nawsawu2016makyam	157	Khalai	kl2	maky1236	
111	28	stream	stream	947	STREAM	tʰi³³ loŋ³¹	tʰ i ³³ + l o ŋ ³¹	0	33 31	nawsawu2016makyam	157	Santong	st1	maky1236	
112	28	stream	stream	947	STREAM	tʰi³³ loŋ²¹	tʰ i ³³ + l o ŋ ²¹	0	33 21	nawsawu2016makyam	157	Santong	st2	maky1236	
113	29	river	river	2415	RIVER	tʰi³³ pi³¹	tʰ i ³³ + p i ³¹	0	33 31	nawsawu2016makyam	157	Khalai	kl1	maky1236	
114	29	river	river	2415	RIVER	tʰi³³ pi²¹	tʰ i ³³ + p i ²¹	0	33 21	nawsawu2016makyam	157	Khalai	kl2	maky1236	
115	29	river	river	2415	RIVER	tʰi³³ pi³¹	tʰ i ³³ + p i ³¹	0	33 31	nawsawu2016makyam	157	Santong	st1	maky1236	
116	29	river	river	2415	RIVER	tʰi³³ pi²¹	tʰ i ³³ + p i ²¹	0	33 21	nawsawu2016makyam	157	Santong	st2	maky1236	
117	30	sea	sea	2535	SEA	pin³³ lɛ³³**	p i n ³³ + l ɛ ³³ * *	1	33 33	nawsawu2016makyam	157	Khalai	kl1	maky1236	
118	30	sea	sea	2535	SEA	pin³³ lɛ³³**	p i n ³³ + l ɛ ³³ * *	1	33 33	nawsawu2016makyam	157	Khalai	kl2	maky1236	
119	30	sea	sea	2535	SEA	tʰi³³ pi³¹	tʰ i ³³ + p i ³¹	0	33 31	nawsawu2016makyam	157	Santong	st1	maky1236	
120	30	sea	sea	2535	SEA	tʰi³³ pi²¹	tʰ i ³³ + p i ²¹	0	33 21	nawsawu2016makyam	157	Santong	st2	maky1236	
121	31	soil	soil (earth)	1228	EARTH (SOIL)	haʔ³¹ pi³³	h a ʔ ³¹ + p i ³³	0	31 33	nawsawu2016makyam	157	Khalai	kl1	maky1236	
122	31	soil	soil (earth)	1228	EARTH (SOIL)	haʔ²¹ pi³³	h a ʔ ²¹ + p i ³³	0	21 33	nawsawu2016makyam	157	Khalai	kl2	maky1236	
123	31	soil	soil (earth)	1228	EARTH (SOIL)	haʔ³¹ pi⁴⁴	h a ʔ ³¹ + p i ⁴⁴	0	31 44	nawsawu2016makyam	157	Santong	st1	maky1236	
124	31	soil	soil (earth)	1228	EARTH (SOIL)	haʔ²¹ pi⁴⁴	h a ʔ ²¹ + p i ⁴⁴	0	21 44	nawsawu2016makyam	157	Santong	st2	maky1236	
125	32	mud	mud	1917	MUD	tʰim³³ pʰə³³ laiŋ⁴⁴	tʰ i m ³³ + pʰ ə ³³ + l ai ŋ ⁴⁴	0	33 33 44	nawsawu2016makyam	157	Khalai	kl1	maky1236	
126	32	mud	mud	1917	MUD	tʰim³³ pʰə³³ laiŋ⁴⁴	tʰ i m ³³ + pʰ ə ³³ + l ai ŋ ⁴⁴	0	33 33 44	nawsawu2016makyam	157	Khalai	kl2	maky1236	
127	32	mud	mud	1917	MUD	tʰim³³ pʰə⁴⁴ leiŋ⁴⁴	tʰ i m ³³ + pʰ ə ⁴⁴ + l ei ŋ ⁴⁴	0	33 44 44	nawsawu2016makyam	157	Santong	st1	maky1236	
128	32	mud	mud	1917	MUD	tʰim³³ pʰə³³ leiŋ⁴⁴	tʰ i m ³³ + pʰ ə ³³ + l ei ŋ ⁴⁴	0	33 33 44	nawsawu2016makyam	157	Santong	st2	maky1236	
129	33	dust	dust	862	DUST	ha³³ ɲak⁴⁴ kʰɔk³¹	h a ³³ + ɲ a k ⁴⁴ + kʰ ɔ k ³¹	0	33 44 31	nawsawu2016makyam	157	Khalai	kl1	maky1236	
