NUMBER,ENGLISH,PAGE,CONCEPTICON_ID,CONCEPTICON_GLOSS
983,broom,219,379,BROOM
984,sweep,219,,
985,polish,219,,
986,draw water,220,,
987,fetch (firewood),220,,
988,rubbish,220,,
989,"cultivate, farm (v)",220,,
990,fertile soil,220,1040,FERTILE (SOIL)
991,(be) barren (of land),220,,
992,clear (land for planting),220,,
993,weed (v),220,,
994,hoe (v),220,,
995,hoe (n),220,,
996,sickle,220,2635,SICKLE
997,"machete, cutlass",220,,
998,harvest season,220,,
999,harvest (rice) (v),220,,
1000,"pick, pluck (fruit)",220,,
1001,"harvest, collect (honey from hive)",221,,
1002,threshing-floor,221,3022,THRESHING FLOOR
1003,"thresh, beat (grain)",221,,
1004,winnow (v),221,,
1005,husk (corn) (v),221,,
1006,"domesticate, tame",221,,
1007,"herd (cattle, sheep) (n)",221,,
1008,"herd, tend (cattle, sheep) (v)",221,,
1009,cattle pen,221,,
1010,"tether (sheep, goats) (v)",221,,
1011,feed (animals),221,,
1012,castrate,221,,
1013,stalk (v),221,,
1014,chase (v),222,,
1015,footprint (human),222,,
1016,poison (on arrow),222,,
1017,head of arrow,222,,
1018,quiver (n),222,,
1019,birdlime (adhesive to catch birds),222,,
1020,trap (n),222,,
1021,set (trap),222,,
1022,trap (animal) (v),222,,
1023,evade,222,,
1024,escape,222,,
1025,wound (animal),222,,
1026,skin (animal) (v),222,,
1027,fish (v),222,,
1028,fish dam,222,,
1029,fishing net,222,,
1030,fishing line,223,,
1031,fishhook,223,,
1032,bait,223,,
