ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,SLNO,Borrowed,Tones,Page,Speaker,Notes
180,Santong,tree bark,hy³³ hyʔ²¹,h y ³³ + h y ʔ ²¹,,nawsawu2016makyam,45,false,33 21,158,st2,
181,Khalai,thorn,θɔk³¹,θ ɔ k ³¹,,nawsawu2016makyam,46,false,31,158,kl1,
182,Khalai,thorn,θɔk⁵²,θ ɔ k ⁵²,,nawsawu2016makyam,46,false,52,158,kl2,
183,Santong,thorn,θɔk³¹,θ ɔ k ³¹,,nawsawu2016makyam,46,false,31,158,st1,
184,Santong,thorn,θɔk²¹,θ ɔ k ²¹,,nawsawu2016makyam,46,false,21,158,st2,
185,Khalai,root (tree),hy³³ zaiŋ³¹,h y ³³ + z ai ŋ ³¹,,nawsawu2016makyam,47,false,33 31,158,kl1,
186,Khalai,root (tree),hy³³ zaiŋ²¹,h y ³³ + z ai ŋ ²¹,,nawsawu2016makyam,47,false,33 21,158,kl2,
187,Santong,root (tree),hy³³ reŋ³¹,h y ³³ + r e ŋ ³¹,,nawsawu2016makyam,47,false,33 31,158,st1,
188,Santong,root (tree),hy³³ reiŋ²¹,h y ³³ + r ei ŋ ²¹,,nawsawu2016makyam,47,false,33 21,158,st2,
189,Khalai,leaf (tree),kə³³ va⁴⁴,k ə ³³ + v a ⁴⁴,,nawsawu2016makyam,48,false,33 44,158,kl1,
190,Khalai,leaf (tree),kə⁴⁴ va⁵²,k ə ⁴⁴ + v a ⁵²,,nawsawu2016makyam,48,false,44 52,158,kl2,
